genename	geneID	chr	strand	start	stop 0
Tcf12	NM_011544	chr9	-	71692058	71959626 267568
Tcf21	NM_011545	chr10	-	22537078	22539934 2856
Zeb1	NM_011546	chr18	+	5591888	5774909 183021
Tcfap2a	NM_011547	chr13	-	40811043	40829192 18149
Tcfe2a	NM_011548	chr10	-	79872337	79896380 24043
Tcfeb	NM_011549	chr17	+	47922692	47929365 6673
Mlx	NM_011550	chr11	+	100948634	100953521 4887
Ubtf	NM_011551	chr11	-	102165873	102180410 14537
Tcof1	NM_011552	chr18	-	60974195	61008594 34399
Tcp10b	NM_011553	chr17	+	7529045	7549537 20492
Tcte3	NM_011560	chr17	-	15164117	15178594 14477
Tcte3	NM_198104	chr17	-	15164117	15178594 14477
Tdg	NM_011561	chr10	+	82092582	82113239 20657
Tdg	NM_172552	chr10	+	82092582	82113239 20657
Tdgf1	NM_011562	chr9	-	110842111	110848662 6551
Prdx2	NM_011563	chr8	+	87493563	87498212 4649
Sry	NM_011564	chrY	-	1918380	1919568 1188
Tead2	NM_011565	chr7	+	52471193	52488989 17796
Tead3	NM_011566	chr17	-	28468619	28487750 19131
Tead4	NM_011567	chr6	-	128177160	128250831 73671
Tead4	NM_001080979	chr6	-	128177160	128250831 73671
Thoc4	NM_011568	chr11	-	120455829	120459679 3850
Tekt1	NM_011569	chr11	-	72158221	72175382 17161
Tesk1	NM_011571	chr4	+	43454810	43460933 6123
Tex264	NM_011573	chr9	-	106561076	106587998 26922
Cirh1a	NM_011574	chr8	+	109417556	109446994 29438
Tff3	NM_011575	chr17	-	31262259	31266556 4297
Tfpi	NM_011576	chr2	-	84273016	84314331 41315
Tgfb1	NM_011577	chr7	+	26472020	26490015 17995
Tgfbr3	NM_011578	chr5	-	107535588	107718539 182951
Tgtp	NM_011579	chr11	-	48798830	48805760 6930
Thbs1	NM_011580	chr2	+	117937629	117952869 15240
Thbs2	NM_011581	chr17	-	14804160	14831097 26937
Thbs4	NM_011582	chr13	-	93521540	93564713 43173
Theg	NM_011583	chr10	-	79039221	79049881 10660
Theg	NM_199226	chr10	-	79039221	79049881 10660
Nr1d2	NM_011584	chr14	-	19036631	19071506 34875
Tia1	NM_011585	chr6	+	86354296	86383399 29103
Myo18a	NM_011586	chr11	+	77590766	77679482 88716
Tie1	NM_011587	chr4	-	118143795	118162454 18659
Trim28	NM_011588	chr7	+	13609500	13616381 6881
Timeless	NM_011589	chr10	+	127675120	127689990 14870
Timm17a	NM_011590	chr1	-	137198111	137210314 12203
Timm17b	NM_011591	chrX	+	7476483	7484778 8295
Timm44	NM_011592	chr8	-	4259730	4275865 16135
Timp1	NM_011593	chrX	+	20447373	20451863 4490
Timp1	NM_001044384	chrX	+	20447373	20451863 4490
Timp2	NM_011594	chr11	-	118162374	118216640 54266
Timp3	NM_011595	chr10	+	85763156	85812250 49094
Atp6v0a2	NM_011596	chr5	+	125079648	125202517 122869
Tjp2	NM_011597	chr19	-	24168991	24299506 130515
Fabp9	NM_011598	chr3	-	10193623	10197222 3599
Tle1	NM_011599	chr4	-	71778175	71861883 83708
Tle4	NM_011600	chr19	-	14522561	14672462 149901
Tln1	NM_011602	chr4	-	43544389	43575099 30710
Tbpl1	NM_011603	chr10	-	22423684	22451158 27474
Tlr6	NM_011604	chr5	-	65344333	65351273 6940
Tmpo	NM_011605	chr10	-	90623161	90634307 11146
Clec3b	NM_011606	chr9	+	123060144	123066550 6406
Tnc	NM_011607	chr4	-	63620818	63681760 60942
Tnfrsf17	NM_011608	chr16	+	11313901	11320161 6260
Tnfrsf1a	NM_011609	chr6	+	125299669	125312501 12832
Tnfrsf1b	NM_011610	chr4	-	144802270	144836762 34492
Tnfrsf9	NM_011612	chr4	+	150294263	150320211 25948
Tnfrsf9	NM_001077508	chr4	+	150294263	150320211 25948
Tnfsf11	NM_011613	chr14	-	78677252	78707895 30643
Tnfsf12	NM_011614	chr11	-	69499849	69509256 9407
Cd40lg	NM_011616	chrX	+	54465319	54477219 11900
Cd70	NM_011617	chr17	-	57285419	57289200 3781
Tnnt1	NM_011618	chr7	-	4456264	4467577 11313
Tnnt3	NM_011620	chr7	+	149684747	149701908 17161
Top2a	NM_011623	chr11	-	98854260	98885492 31232
Top3b	NM_011624	chr16	+	16870929	16893079 22150
Ppp1r13b	NM_011625	chr12	-	113066668	113146286 79618
Tmem165	NM_011626	chr5	+	76612941	76638269 25328
Tpbg	NM_011627	chr9	+	85736016	85739396 3380
Nr2c1	NM_011629	chr10	+	93610675	93659959 49284
Nr2c2	NM_011630	chr6	+	92088987	92117953 28966
Hsp90b1	NM_011631	chr10	-	86153585	86168208 14623
Traf3	NM_011632	chr12	+	112404758	112505359 100601
Traf3	NM_001048206	chr12	+	112404758	112505359 100601
Traf5	NM_011633	chr1	-	193821087	193916445 95358
Traip	NM_011634	chr9	+	107853228	107874599 21371
Trap1a	NM_011635	chrX	+	135868165	135872704 4539
Plscr1	NM_011636	chr9	+	92145123	92167399 22276
Trex1	NM_011637	chr9	-	108960445	108962237 1792
Tfrc	NM_011638	chr16	+	32609069	32632876 23807
Trip6	NM_011639	chr5	-	137751126	137755409 4283
Trp73	NM_011642	chr4	-	153430357	153514317 83960
Trpc1	NM_011643	chr9	-	95607047	95650767 43720
Trpc2	NM_011644	chr7	+	109214265	109244930 30665
Prss3	NM_011645	chr6	-	41323757	41327612 3855
Try4	NM_011646	chr6	+	41252270	41255532 3262
Tshr	NM_011648	chr12	+	92639432	92778949 139517
Tsn	NM_011650	chr1	-	120195094	120207774 12680
Tuba1a	NM_011653	chr15	-	98780277	98783932 3655
Tuba1b	NM_011654	chr15	-	98761861	98764766 2905
Tubb5	NM_011655	chr17	-	35970864	35975147 4283
Tuft1	NM_011656	chr3	-	94416680	94462728 46048
Tulp3	NM_011657	chr6	-	128271178	128305836 34658
Twist1	NM_011658	chr12	+	34642521	34644696 2175
Tnfrsf4	NM_011659	chr4	+	155387803	155390698 2895
Txn1	NM_011660	chr4	-	57956244	57969199 12955
Tyr	NM_011661	chr7	-	94575914	94641921 66007
Tyrobp	NM_011662	chr7	+	31198806	31202598 3792
Zrsr1	NM_011663	chr11	+	22872028	22874908 2880
Ubb	NM_011664	chr11	+	62365001	62366714 1713
Ube2i	NM_011665	chr17	-	25397455	25411228 13773
Ube1y1	NM_011667	chrY	+	155155	180667 25512
Usp12	NM_011669	chr5	-	147546387	147606532 60145
Uchl1	NM_011670	chr5	+	67067359	67078473 11114
Ucp2	NM_011671	chr7	+	107641867	107650682 8815
Ufd1l	NM_011672	chr16	+	18812406	18835348 22942
Ugcg	NM_011673	chr4	+	59202412	59235705 33293
Ugt8a	NM_011674	chr3	-	125568260	125641468 73208
Uck1	NM_011675	chr2	-	32110521	32115592 5071
Unc119	NM_011676	chr11	+	78157023	78162658 5635
Ung	NM_011677	chr5	+	114581164	114589330 8166
Usp4	NM_011678	chr9	+	108250225	108294860 44635
Usf2	NM_011680	chr7	-	31731014	31741798 10784
Scgb1a1	NM_011681	chr19	-	9158131	9162446 4315
Utrn	NM_011682	chr10	-	12101985	12581533 479548
V1ra1	NM_011683	chr6	+	90072636	90080639 8003
V1ra2	NM_011684	chr6	-	89881643	89890501 8858
Vmn2r88	NM_011686	chr14	+	52030675	52038557 7882
Vars	NM_011690	chr17	+	35138080	35153271 15191
Vav1	NM_011691	chr17	+	57418537	57467376 48839
Vbp1	NM_011692	chrX	+	72759667	72780285 20618
Vcam1	NM_011693	chr3	-	115812937	115832606 19669
Vdac1	NM_011694	chr11	+	52174569	52202898 28329
Vdac2	NM_011695	chr14	+	22650771	22665101 14330
Vdac3	NM_011696	chr8	-	23687572	23704253 16681
Vegfb	NM_011697	chr19	-	7056961	7062128 5167
Lin7b	NM_011698	chr7	-	52623260	52625934 2674
Lin7c	NM_011699	chr2	+	109731033	109741093 10060
Vill	NM_011700	chr9	+	118961983	118980444 18461
Vim	NM_011701	chr2	+	13495483	13504434 8951
Vip	NM_011702	chr10	-	4698926	4707323 8397
Vipr1	NM_011703	chr9	+	121551895	121582072 30177
Vnn1	NM_011704	chr10	+	23614665	23625145 10480
Vrk1	NM_011705	chr12	+	107248495	107315620 67125
Vrk1	NM_001029844	chr12	+	107248495	107315620 67125
Vrk1	NM_001029843	chr12	+	107248495	107315620 67125
Trpv2	NM_011706	chr11	+	62387987	62413807 25820
Vtn	NM_011707	chr11	+	78312787	78315826 3039
Vwf	NM_011708	chr6	+	125502980	125636695 133715
Wap	NM_011709	chr11	-	6535485	6538652 3167
Wars	NM_011710	chr12	-	110098243	110131407 33164
Fmnl3	NM_011711	chr15	-	99147653	99200800 53147
Wbp5	NM_011712	chrX	+	132779621	132781678 2057
Baz1b	NM_011714	chr5	+	135663190	135721999 58809
Wdr1	NM_011715	chr5	-	38918051	38952927 34876
Wfs1	NM_011716	chr5	-	37357342	37380221 22879
Wiz	NM_011717	chr17	-	32491005	32525830 34825
Wnt10b	NM_011718	chr15	-	98602192	98608581 6389
Wnt9b	NM_011719	chr11	-	103588676	103611125 22449
Wnt8b	NM_011720	chr19	+	44567962	44587005 19043
Dctn6	NM_011722	chr8	-	35153476	35171511 18035
Xdh	NM_011723	chr17	-	74233247	74299522 66275
Xlr	NM_011725	chrX	-	51086924	51100873 13949
Xlr3c	NM_011727	chrX	-	70499878	70510729 10851
Xpa	NM_011728	chr4	-	46188111	46209151 21040
Ercc5	NM_011729	chr1	+	44204588	44238105 33517
Slc6a20b	NM_011731	chr9	-	123503944	123541594 37650
Ybx1	NM_011732	chr4	-	118949931	118967131 17200
Csda	NM_011733	chr6	-	131314875	131338461 23586
Csda	NM_139117	chr6	-	131314875	131338461 23586
Siae	NM_011734	chr9	+	37421413	37455903 34490
Ywhah	NM_011738	chr5	+	33361527	33370615 9088
Ywhaq	NM_011739	chr12	-	21396189	21423393 27204
Ywhaz	NM_011740	chr15	-	36700524	36723904 23380
Zan	NM_011741	chr5	-	137819864	137918292 98428
Zfp1	NM_011742	chr8	+	114167342	114194911 27569
Zfp106	NM_011743	chr2	-	120332565	120389564 56999
Mkrn3	NM_011746	chr7	-	69562478	69564965 2487
Zfp13	NM_011747	chr17	-	23712818	23736454 23636
Zfp14	NM_011748	chr7	-	30821377	30836346 14969
Zfp14	NM_178733	chr7	-	30821377	30836346 14969
Zfp148	NM_011749	chr16	+	33380947	33503989 123042
Zfp259	NM_011752	chr9	+	46081146	46090725 9579
Zfp26	NM_011753	chr9	-	20239473	20264401 24928
Zfp35	NM_011755	chr18	+	24148182	24163872 15690
Zfp36	NM_011756	chr7	-	29161802	29164237 2435
Zfp39	NM_011758	chr11	-	58701654	58717681 16027
Zfp54	NM_011760	chr17	+	21560209	21572348 12139
Zfp59	NM_011762	chr7	+	28623585	28641793 18208
Zfp9	NM_011763	chr6	-	118411967	118429291 17324
Zfp90	NM_011764	chr8	+	108939291	108949789 10498
Zfp97	NM_011765	chr17	+	17258354	17283808 25454
Zfpm2	NM_011766	chr15	+	40486587	40936138 449551
Zfr	NM_011767	chr15	+	12047611	12115205 67594
Zim1	NM_011769	chr7	-	6628153	6649143 20990
Ikzf2	NM_011770	chr1	-	69577783	69732534 154751
Ikzf3	NM_011771	chr11	-	98326006	98407345 81339
Ikzf4	NM_011772	chr10	-	128069470	128083049 13579
Slc30a3	NM_011773	chr5	-	31388478	31395883 7405
Slc30a4	NM_011774	chr2	-	122506974	122528381 21407
Zp2	NM_011775	chr7	-	127275874	127288804 12930
Zp3	NM_011776	chr5	+	136455974	136464494 8520
Zyx	NM_011777	chr6	+	42299826	42308394 8568
Coro1b	NM_011778	chr19	+	4148654	4154035 5381
Coro1c	NM_011779	chr5	-	114292447	114358700 66253
Adam23	NM_011780	chr1	+	63492478	63643089 150611
Adam25	NM_011781	chr8	+	41837561	41841530 3969
Adamts5	NM_011782	chr16	-	85858401	85901370 42969
Agr2	NM_011783	chr12	+	36719511	36730668 11157
Aplnr	NM_011784	chr2	+	84976516	84980079 3563
Akt3	NM_011785	chr1	-	178952245	179178898 226653
Aloxe3	NM_011786	chr11	+	68939878	68962616 22738
Amfr	NM_011787	chr8	-	96495487	96536540 41053
Apc2	NM_011789	chr10	+	79764564	79781001 16437
Arih2	NM_011790	chr9	-	108505273	108551711 46438
Ash2l	NM_011791	chr8	-	26927341	26951251 23910
Bace1	NM_011792	chr9	+	45646721	45670524 23803
Banf1	NM_011793	chr19	-	5364639	5366632 1993
Bpnt1	NM_011794	chr1	+	187156059	187181648 25589
C1ql1	NM_011795	chr11	-	102801046	102807775 6729
Capn10	NM_011796	chr1	+	94830984	94844525 13541
Car14	NM_011797	chr3	-	95701722	95708562 6840
Xcr1	NM_011798	chr9	-	123761435	123771246 9811
Cdc6	NM_011799	chr11	+	98769464	98785256 15792
Cdh20	NM_011800	chr1	+	106665395	106892058 226663
Cfdp1	NM_011801	chr8	-	114292372	114378161 85789
Clpx	NM_011802	chr9	+	65142103	65178465 36362
Clpx	NM_001044389	chr9	+	65142103	65178465 36362
Klf6	NM_011803	chr13	+	5860647	5869639 8992
Creg1	NM_011804	chr1	+	167693885	167705435 11550
Dido1	NM_011805	chr2	-	180415763	180436805 21042
Dmtf1	NM_011806	chr5	-	9118867	9161701 42834
Dmtf1	NM_001110327	chr5	-	9118867	9161701 42834
Dlg2	NM_011807	chr7	+	98239295	99597599 1358304
Ets2	NM_011809	chr16	+	95924067	95942656 18589
Farsb	NM_011811	chr1	-	78421410	78485380 63970
Fbln5	NM_011812	chr12	-	102984774	103057265 72491
Fiz1	NM_011813	chr7	-	4958657	4965899 7242
Fxr2	NM_011814	chr11	+	69446467	69466799 20332
Fyb	NM_011815	chr15	+	6529870	6613312 83442
G3bp2	NM_011816	chr5	-	92481171	92512754 31583
Gadd45g	NM_011817	chr13	+	51942118	51943843 1725
Gmcl1	NM_011818	chr6	-	86641761	86683343 41582
Gdf15	NM_011819	chr8	-	73153292	73155534 2242
Ggt5	NM_011820	chr10	+	75052125	75079713 27588
Pigq	NM_011822	chr17	-	26063368	26078907 15539
Gpr34	NM_011823	chrX	+	13209894	13217984 8090
Grem1	NM_011824	chr2	-	113588831	113598805 9974
Grem2	NM_011825	chr1	-	176763915	176851950 88035
Hax1	NM_011826	chr3	-	89799378	89802619 3241
Hcst	NM_011827	chr7	-	31202730	31204873 2143
Hs2st1	NM_011828	chr3	-	144094070	144233122 139052
Impdh1	NM_011829	chr6	-	29150439	29162282 11843
Impdh2	NM_011830	chr9	+	108462747	108467897 5150
Insl5	NM_011831	chr4	-	102690477	102699333 8856
Insrr	NM_011832	chr3	+	87600872	87620023 19151
Aadat	NM_011834	chr8	+	62984920	63024474 39554
Katna1	NM_011835	chr10	+	7445874	7482947 37073
Lamc3	NM_011836	chr2	+	31742874	31802055 59181
Ly6h	NM_011837	chr15	-	75395174	75397612 2438
Lynx1	NM_011838	chr15	-	74578285	74583434 5149
Mab21l2	NM_011839	chr3	-	86349502	86352205 2703
Map2k5	NM_011840	chr9	-	63011576	63225719 214143
Mapk7	NM_011841	chr11	-	61302313	61307707 5394
Mta2	NM_011842	chr19	+	9016383	9026790 10407
Mbc2	NM_011843	chr10	-	127947305	127962953 15648
Mgll	NM_011844	chr6	+	88674821	88778351 103530
Mid2	NM_011845	chrX	+	137212566	137302254 89688
Mmp17	NM_011846	chr5	+	130090067	130114086 24019
Dnajb6	NM_011847	chr5	+	30062525	30093641 31116
Dnajb6	NM_001127367	chr5	+	30062525	30093641 31116
Nek3	NM_011848	chr8	-	23238756	23276857 38101
Nek4	NM_011849	chr14	+	31764673	31800587 35914
Nr0b2	NM_011850	chr4	+	133109304	133112451 3147
Nt5e	NM_011851	chr9	+	88222478	88266927 44449
Oas1g	NM_011852	chr5	-	121326150	121337607 11457
Oasl2	NM_011854	chr5	+	115346942	115362254 15312
Odz1	NM_011855	chrX	-	39885569	40627963 742394
Odz2	NM_011856	chr11	-	35820170	36757745 937575
Odz3	NM_011857	chr8	-	49313037	49760044 447007
Odz4	NM_011858	chr7	+	103359146	104057064 697918
Osr1	NM_011859	chr12	+	9581302	9587707 6405
Pacsin1	NM_011861	chr17	+	27792626	27848051 55425
Pacsin2	NM_011862	chr15	-	83206547	83263208 56661
Papss1	NM_011863	chr3	+	131227841	131306632 78791
Papss2	NM_011864	chr19	+	32694494	32741677 47183
Pcbp1	NM_011865	chr6	-	86474490	86476167 1677
Pde10a	NM_011866	chr17	+	8994609	9179513 184904
Slc26a4	NM_011867	chr12	-	32204683	32244834 40151
Peci	NM_011868	chr13	-	35069616	35085954 16338
Med24	NM_011869	chr11	-	98565904	98590723 24819
Cib1	NM_011870	chr7	-	87372045	87377455 5410
Prkra	NM_011871	chr2	-	76467993	76486041 18048
Klk7	NM_011872	chr7	+	51066813	51071729 4916
Dazap2	NM_011873	chr15	+	100446061	100451192 5131
Psmc4	NM_011874	chr7	-	28826720	28835037 8317
Psmd13	NM_011875	chr7	+	148068303	148084541 16238
Twf2	NM_011876	chr9	+	106105495	106117718 12223
Ptpn21	NM_011877	chr12	-	99914951	99972804 57853
Tiam2	NM_011878	chr17	+	3397304	3519397 122093
Ik	NM_011879	chr18	+	36904333	36917293 12960
Rgs7	NM_011880	chr1	-	176989206	177422676 433470
Grk1	NM_011881	chr8	+	13405080	13421949 16869
Rnasel	NM_011882	chr1	+	155600059	155609471 9412
Rnf13	NM_011883	chr3	+	57540042	57637154 97112
Rngtt	NM_011884	chr4	+	33397300	33589585 192285
Mrps12	NM_011885	chr7	-	29524659	29526794 2135
Scamp3	NM_011886	chr3	+	88981427	88986692 5265
Scn11a	NM_011887	chr9	-	119662882	119734574 71692
Sept3	NM_011889	chr15	+	82105364	82124872 19508
Sgcb	NM_011890	chr5	-	74023987	74038976 14989
Sgcd	NM_011891	chr11	-	46792284	47192801 400517
Sgcg	NM_011892	chr14	-	61837951	61877327 39376
Sh3bp2	NM_011893	chr5	+	34868558	34906275 37717
Sh3bp5	NM_011894	chr14	-	32187149	32249219 62070
Slc35a1	NM_011895	chr4	-	34610505	34634524 24019
Spry1	NM_011896	chr3	+	37538823	37543519 4696
Spry2	NM_011897	chr14	-	106291163	106295982 4819
Spry4	NM_011898	chr18	-	38745918	38760999 15081
Srp54a	NM_011899	chr12	+	56181482	56216354 34872
Mpdu1	NM_011900	chr11	-	69470205	69476076 5871
Taf7	NM_011901	chr18	-	37801675	37803801 2126
Tekt2	NM_011902	chr4	-	125999364	126002443 3079
Tlk2	NM_011903	chr11	+	105042843	105145270 102427
Tlk2	NM_001112705	chr11	+	105042843	105145270 102427
Tll2	NM_011904	chr19	-	41158470	41281264 122794
Tlr2	NM_011905	chr3	-	83640193	83645530 5337
Gpr175	NM_011906	chr6	+	88852244	88862234 9990
Trex2	NM_011907	chrX	-	70679043	70680682 1639
Ubl3	NM_011908	chr5	-	149316206	149364320 48114
Usp18	NM_011909	chr6	+	121195923	121220935 25012
Uts2	NM_011910	chr4	+	150371205	150375919 4714
Vax2	NM_011912	chr6	+	83661257	83688298 27041
Best1	NM_011913	chr19	-	10059661	10076123 16462
Whsc2	NM_011914	chr5	-	34240828	34278887 38059
Wif1	NM_011915	chr10	+	120471285	120537698 66413
Xrn1	NM_011916	chr9	+	95855221	95953448 98227
Xrn2	NM_011917	chr2	+	146838799	146903733 64934
Ing1	NM_011919	chr8	+	11556078	11563250 7172
Abcg2	NM_011920	chr6	+	58546665	58642445 95780
Aldh1a7	NM_011921	chr19	-	20767442	20802046 34604
Anxa10	NM_011922	chr8	-	64536317	64601915 65598
Angptl2	NM_011923	chr2	+	33071480	33103234 31754
Avpr1b	NM_011924	chr1	+	133495690	133508577 12887
Cd97	NM_011925	chr8	-	86247263	86265068 17805
Ceacam1	NM_011926	chr7	-	26246720	26262644 15924
Ceacam1	NM_001039185	chr7	-	26246720	26262644 15924
Ceacam1	NM_001039186	chr7	-	26246720	26262644 15924
Ceacam1	NM_001039187	chr7	-	26246720	26262644 15924
Ceacam9	NM_011927	chr7	+	17307277	17311459 4182
Clcn6	NM_011929	chr4	-	147380592	147412887 32295
Clcn7	NM_011930	chr17	+	25270366	25299044 28678
Rfwd2	NM_011931	chr1	+	161162362	161277711 115349
Dapp1	NM_011932	chr3	-	137593969	137644523 50554
Decr2	NM_011933	chr17	-	26218155	26227095 8940
Esrrb	NM_011934	chr12	+	87702066	87862570 160504
Esrrg	NM_011935	chr1	+	189821737	190038763 217026
Fto	NM_011936	chr8	+	93837493	94192332 354839
Gnpda1	NM_011937	chr18	-	38487190	38498647 11457
Grk6	NM_011938	chr13	+	55546697	55560938 14241
Hsf4	NM_011939	chr8	+	107793773	107799745 5972
Mapkbp1	NM_011941	chr2	+	119798434	119853138 54704
Lypla2	NM_011942	chr4	-	135524139	135528518 4379
Map2k6	NM_011943	chr11	+	110260435	110374951 114516
Map2k7	NM_011944	chr8	+	4238824	4246108 7284
Map3k1	NM_011945	chr13	-	112536642	112599191 62549
Map3k2	NM_011946	chr18	+	32322747	32396405 73658
Map3k3	NM_011947	chr11	+	105946215	106016748 70533
Map3k4	NM_011948	chr17	-	12420486	12511609 91123
Mapk1	NM_011949	chr16	+	16983498	17047546 64048
Mapk13	NM_011950	chr17	+	28906364	28915649 9285
Mapk14	NM_011951	chr17	+	28828375	28885350 56975
Mapk3	NM_011952	chr7	+	133903134	133909330 6196
Prl2c4	NM_011954	chr13	-	12883082	12892325 9243
Nubp1	NM_011955	chr16	+	10412049	10423624 11575
Nubp2	NM_011956	chr17	-	25019561	25023260 3699
Creb3l1	NM_011957	chr2	-	91822484	91864327 41843
Orc4l	NM_011958	chr2	-	48758371	48804735 46364
Orc5l	NM_011959	chr5	-	21992306	22056156 63850
Parg	NM_011960	chr14	+	33015165	33110735 95570
Plod2	NM_011961	chr9	+	92437263	92503262 65999
Plod3	NM_011962	chr5	+	137462878	137472409 9531
Psg18	NM_011963	chr7	-	18931192	18940224 9032
Psg19	NM_011964	chr7	-	19375142	19383859 8717
Psma1	NM_011965	chr7	-	121408063	121419574 11511
Psma4	NM_011966	chr9	+	54798720	54805837 7117
Psma5	NM_011967	chr3	+	108059843	108082870 23027
Psma6	NM_011968	chr12	+	56499825	56519438 19613
Psma7	NM_011969	chr2	-	179771080	179777156 6076
Psmb2	NM_011970	chr4	+	126354911	126386950 32039
Psmb3	NM_011971	chr11	+	97564802	97574814 10012
Poli	NM_011972	chr18	-	70668336	70689944 21608
Rage	NM_011973	chr12	-	112046007	112079149 33142
Rpl27a	NM_011975	chr7	+	116662763	116665883 3120
Sema4g	NM_011976	chr19	+	45063833	45077885 14052
Slc27a1	NM_011977	chr8	+	74092825	74110607 17782
Slc27a2	NM_011978	chr2	+	126378760	126413979 35219
Vnn3	NM_011979	chr10	+	23571277	23589647 18370
Zfp146	NM_011980	chr7	-	30946286	30954761 8475
Zfp260	NM_011981	chr7	+	30880094	30892633 12539
Homer1	NM_011982	chr13	+	94074449	94126785 52336
Homer2	NM_011983	chr7	-	88754613	88851680 97067
Homer3	NM_011984	chr8	+	72806961	72818251 11290
Mmp23	NM_011985	chr4	-	155024763	155027493 2730
Ncdn	NM_011986	chr4	-	126420993	126430665 9672
Pla2g10	NM_011987	chr16	-	13715154	13730678 15524
Slc27a3	NM_011988	chr3	-	90189161	90193825 4664
Slc27a4	NM_011989	chr2	+	29658154	29673042 14888
Slc7a11	NM_011990	chr3	-	50168857	50247535 78678
Cops3	NM_011991	chr11	-	59631305	59653314 22009
Rcn2	NM_011992	chr9	+	55889682	55906890 17208
Dpysl4	NM_011993	chr7	+	146271900	146287690 15790
Abcd2	NM_011994	chr15	-	90976301	91022238 45937
Pclo	NM_011995	chr5	+	14514917	14863459 348542
Adh4	NM_011996	chr3	+	138078460	138093856 15396
Chst4	NM_011998	chr8	-	112552974	112563234 10260
Clec4a2	NM_011999	chr6	+	123073409	123094017 20608
Cln8	NM_012000	chr8	+	14888535	14901719 13184
Cops4	NM_012001	chr5	+	100947443	100976794 29351
Cops6	NM_012002	chr5	+	138602367	138605212 2845
Cops7a	NM_012003	chr6	-	124908836	124915417 6581
Med14	NM_012005	chrX	-	12256869	12339099 82230
Acot1	NM_012006	chr12	+	85350440	85358619 8179
Ctsj	NM_012007	chr13	-	61101638	61107272 5634
Ddx3y	NM_012008	chrY	-	598009	622998 24989
Sh2d1b1	NM_012009	chr1	+	172207454	172215793 8339
Eif2s3x	NM_012010	chrX	-	91434047	91457990 23943
Eif2s3y	NM_012011	chrY	+	347054	365037 17983
Exo1	NM_012012	chr1	+	177810908	177841527 30619
Figla	NM_012013	chr6	+	85967184	85970990 3806
Gprin1	NM_012014	chr13	-	54838033	54851030 12997
H2afy	NM_012015	chr13	-	56175535	56236883 61348
Ern2	NM_012016	chr7	-	129313406	129329730 16324
Zfp346	NM_012017	chr13	+	55206693	55236432 29739
Cep110	NM_012018	chr2	+	34965029	35034342 69313
Aifm1	NM_012019	chrX	-	45828120	45866584 38464
Foxl2	NM_012020	chr9	+	98856079	98857207 1128
Prdx5	NM_012021	chr19	-	6981308	6984100 2792
Ppp2r5c	NM_012023	chr12	+	111723948	111821271 97323
Ppp2r5e	NM_012024	chr12	-	76551867	76697176 145309
Racgap1	NM_012025	chr15	-	99450926	99481998 31072
Rgnef	NM_012026	chr13	-	98668549	98976120 307571
Mprip	NM_012027	chr11	+	59476131	59589700 113569
St6galnac5	NM_012028	chr3	-	152483673	152645171 161498
Ecsit	NM_012029	chr9	-	21876689	21889852 13163
Slc9a3r1	NM_012030	chr11	+	115024655	115042492 17837
Spag1	NM_012031	chr15	+	36109284	36164932 55648
Serinc3	NM_012032	chr2	-	163449008	163470817 21809
Tinag	NM_012033	chr9	-	76799504	76893533 94029
Tpsg1	NM_012034	chr17	+	25507528	25511387 3859
Trpc7	NM_012035	chr13	-	56874468	56996949 122481
Vat1	NM_012037	chr11	-	101320061	101327546 7485
Vsnl1	NM_012038	chr12	-	11332052	11443419 111367
Zw10	NM_012039	chr9	+	48863736	48886878 23142
Pnck	NM_012040	chrX	-	70901332	70905167 3835
Cul1	NM_012042	chr6	+	47404381	47476138 71757
Islr	NM_012043	chr9	-	58004075	58006949 2874
Pla2g2e	NM_012044	chr4	+	138433856	138438729 4873
Pla2g2f	NM_012045	chr4	-	138306447	138313502 7055
Spo11	NM_012046	chr2	+	172805342	172819077 13735
Spo11	NM_001083959	chr2	+	172805342	172819077 13735
Spo11	NM_001083960	chr2	+	172805342	172819077 13735
Brd7	NM_012047	chr8	-	90856209	90886052 29843
Polk	NM_012048	chr13	-	97250643	97312444 61801
Nit1	NM_012049	chr1	-	173272374	173275755 3381
Omd	NM_012050	chr13	+	49678115	49687978 9863
Rps3	NM_012052	chr7	-	106626406	106632160 5754
Rpl8	NM_012053	chr15	+	76734515	76736744 2229
Aoah	NM_012054	chr13	+	20885987	21116121 230134
Asns	NM_012055	chr6	-	7625170	7643233 18063
Fkbp9	NM_012056	chr6	+	56782108	56829354 47246
Irf5	NM_012057	chr6	+	29476732	29487319 10587
Srp9	NM_012058	chr1	+	184054867	184062546 7679
Bcap31	NM_012060	chrX	-	70931521	70961491 29970
Pde6g	NM_012065	chr11	-	120308923	120314797 5874
Atp1b2	NM_013415	chr11	-	69413251	69419465 6214
Abca1	NM_013454	chr4	-	53043660	53172764 129104
Acr	NM_013455	chr15	+	89398756	89405015 6259
Actn3	NM_013456	chr19	-	4861222	4877888 16666
Add2	NM_013458	chr6	+	86028165	86069549 41384
Cfd	NM_013459	chr10	+	79353656	79355399 1743
Adra1d	NM_013460	chr2	-	131371092	131388021 16929
Adra1a	NM_013461	chr14	+	67254094	67352166 98072
Adrb3	NM_013462	chr8	-	28336247	28340060 3813
Gla	NM_013463	chrX	-	131122707	131135476 12769
Ahr	NM_013464	chr12	-	36182650	36219661 37011
Ahsg	NM_013465	chr16	+	22892114	22899511 7397
