genename	geneID	chr	strand	start	stop
Scn9a	NM_018852	chr2	-	66318137	66473009
Rplp1	NM_018853	chr9	-	61761089	61762350
Ift20	NM_018854	chr11	+	78349927	78354975
Gas8	NM_018855	chr8	+	126042734	126060550
Msln	NM_018857	chr17	-	25885557	25891272
Pebp1	NM_018858	chr5	-	117732659	117737606
Akr1e1	NM_018859	chr13	-	4591735	4608354
Slc1a4	NM_018861	chr11	-	20202207	20232599
Agpat1	NM_018862	chr17	+	34745958	34750394
Pdyn	NM_018863	chr2	-	129513736	129515604
Impa1	NM_018864	chr3	-	10313539	10331395
Wisp1	NM_018865	chr15	+	66722954	66754761
Cxcl13	NM_018866	chr5	+	96385957	96390087
Cpxm2	NM_018867	chr7	-	139234498	139346422
Nol5	NM_018868	chr1	+	59741853	59768354
Grk5	NM_018869	chr19	+	60965651	61168458
Pgam2	NM_018870	chr11	-	5701646	5703736
Ywhag	NM_018871	chr5	-	136384278	136410467
Tmem131	NM_018872	chr1	-	36849033	36996434
P140	NM_018873	chr11	-	97370653	97436440
Pnliprp1	NM_018874	chr19	+	58803376	58818659
Fut2	NM_018876	chr7	-	52903964	52921671
Setdb1	NM_018877	chr3	-	95127446	95161095
Paxip1	NM_018878	chr5	-	28067204	28117953
Tusc4	NM_018879	chr9	+	107444539	107448037
Trim3	NM_018880	chr7	-	112758983	112782069
Fmo2	NM_018881	chr1	-	164805177	164828843
Gpr56	NM_018882	chr8	+	97508502	97538091
Camkk1	NM_018883	chr11	+	72832509	72855567
Pdzrn3	NM_018884	chr6	-	101099607	101327891
Irx4	NM_018885	chr13	+	73398246	73407043
Lgals8	NM_018886	chr13	-	12531685	12553724
Cyp39a1	NM_018887	chr17	+	43804373	43888380
Uqcc	NM_018888	chr2	-	155672630	155756042
Uqcc	NR_024487	chr2	-	155672630	155756042
Pigb	NM_018889	chr9	-	72863502	72887439
Cd86	NM_019388	chr16	-	36603954	36666163
Lmna	NM_019390	chr3	-	88287127	88297221
Lsp1	NM_019391	chr7	+	149657747	149680504
Tyro3	NM_019392	chr2	+	119625249	119643839
Exosc9	NM_019393	chr3	+	36451550	36464649
Mia1	NM_019394	chr7	-	27964759	27966129
Fbp1	NM_019395	chr13	-	62966112	62989596
Cyhr1	NM_019396	chr15	-	76476196	76490491
Egfl6	NM_019397	chrX	-	162960938	163023648
Rabep1	NM_019400	chr11	+	70658426	70754442
Pabpn1	NM_019402	chr14	+	55512897	55516893
Rnf5	NM_019403	chr17	-	34738043	34740506
Avpr2	NM_019404	chrX	+	71137440	71139766
Cetn2	NM_019405	chrX	-	70158903	70163683
Fnbp1	NM_019406	chr2	-	30908754	30997476
Nfkb2	NM_019408	chr19	+	46380189	46386580
Omg	NM_019409	chr11	-	79314854	79317521
Pfn2	NM_019410	chr3	-	57645816	57651405
Ppp2ca	NM_019411	chr11	+	51912351	51936251
Prx	NM_019412	chr7	+	28284342	28305060
Prx	NM_198048	chr7	+	28284342	28305060
Robo1	NM_019413	chr16	+	72663366	73046345
Selenbp2	NM_019414	chr3	+	94497494	94508328
Slc12a3	NM_019415	chr8	+	96853125	96889863
Pdlim4	NM_019417	chr11	-	53868433	53882470
Tnfsf14	NM_019418	chr17	-	57328914	57333609
Arl6ip1	NM_019419	chr7	-	125262413	125273088
B3galt4	NM_019420	chr17	-	34086856	34088416
Cd320	NM_019421	chr17	+	33980065	33986719
Elovl2	NM_019423	chr13	-	41277750	41315774
Hps1	NM_019424	chr19	-	42829685	42854431
Gnpnat1	NM_019425	chr14	-	45996095	46008471
Atf7ip	NM_019426	chr6	+	136467348	136555900
Epb4.1l4b	NM_019427	chr4	-	57074597	57156028
Rpp30	NM_019428	chr19	+	36158241	36179263
Prss16	NM_019429	chr13	-	22094044	22101610
Cacng3	NM_019430	chr7	+	129815287	129912360
Cacng4	NM_019431	chr11	-	107596093	107655778
Tmem37	NM_019432	chr1	-	121963953	121970332
Mcm3ap	NM_019434	chr10	+	75931671	75978602
Ndufb11	NM_019435	chrX	-	20192451	20194690
Sit1	NM_019436	chr4	-	43494954	43496557
Rfk	NM_019437	chr19	+	17468603	17475825
Ncapg	NM_019438	chr5	+	46061160	46091786
Gabbr1	NM_019439	chr17	+	37182949	37211250
Iigp2	NM_019440	chr11	+	58028478	58036282
Ppt2	NM_019441	chr17	-	34753606	34764042
Stk19	NM_019442	chr17	-	34960937	34973832
Ndufa1	NM_019443	chrX	-	34727583	34731133
Ramp2	NM_019444	chr11	+	101107647	101109564
Fmn2	NM_019445	chr1	+	176431969	176752860
Barhl1	NM_019446	chr2	-	28763203	28771942
Hgfac	NM_019447	chr5	+	35384201	35391085
Dnmt3l	NM_019448	chr10	+	77512586	77526360
Unc93b1	NM_019449	chr19	+	3935314	3949340
Il1f6	NM_019450	chr2	+	24070936	24081221
Il1f5	NM_019451	chr2	+	24132918	24137596
Mefv	NM_019453	chr16	-	3707217	3718097
Dll4	NM_019454	chr2	+	119151564	119161392
Ptgds2	NM_019455	chr6	-	65069357	65094724
Apbb1ip	NM_019456	chr2	+	22629846	22731173
Lrrc6	NM_019457	chr15	-	66211419	66332472
Paf1	NM_019458	chr7	+	29178006	29184402
Nphs1	NM_019459	chr7	+	31245076	31273628
Sfmbt1	NM_019460	chr14	+	31579185	31631149
Sh3glb1	NM_019464	chr3	-	144351807	144383342
Crtam	NM_019465	chr9	-	40780880	40812669
Rcan1	NM_019466	chr16	-	92392197	92400322
Aif1	NM_019467	chr17	-	35307936	35312946
G6pd2	NM_019468	chr5	+	62200122	62201664
Mmp10	NM_019471	chr9	+	7502359	7510240
Myo10	NM_019472	chr15	+	25552289	25743426
Olfr155	NM_019473	chr4	+	43867163	43868335
Olfr156	NM_019474	chr4	-	43833007	43834310
Olfr157	NM_019475	chr4	-	43847623	43849389
Pqbp1	NM_019478	chrX	-	7471648	7476356
Hes6	NM_019479	chr1	-	93308059	93309746
Ebag9	NM_019480	chr15	+	44451186	44472572
Slc13a1	NM_019481	chr6	-	24038282	24118092
Panx1	NM_019482	chr9	-	14810228	14849926
Smad9	NM_019483	chr3	+	54559503	54605179
Refbp2	NM_019484	chr1	+	173433608	173434881
Olfr70	NM_019485	chr4	-	43707871	43713679
Hebp2	NM_019487	chr10	-	18259928	18265882
Slc2a8	NM_019488	chr2	-	32828508	32837558
Ppie	NM_019489	chr4	-	122804367	122817152
Uso1	NM_019490	chr5	+	92566992	92631821
Rala	NM_019491	chr13	-	17972408	18036013
Rgs3	NM_019492	chr4	+	62220880	62320880
Btg4	NM_019493	chr9	+	50924105	50927805
Cxcl11	NM_019494	chr5	-	92788570	92792303
Ammecr1	NM_019496	chrX	-	139288016	139401259
Grk4	NM_019497	chr5	+	35003121	35097952
Olfm1	NM_019498	chr2	+	28061208	28086256
Mad2l1	NM_019499	chr6	+	66485469	66490985
Cldn14	NM_019500	chr16	-	93919277	94009082
Pdss1	NM_019501	chr2	+	22751004	22795779
Fxc1	NM_019502	chr7	+	112789151	112790359
Fxyd1	NM_019503	chr7	-	31836696	31840662
Fxyd1	NM_052992	chr7	-	31836696	31840662
Dgke	NM_019505	chr11	-	88898895	88922062
Gdf2	NM_019506	chr14	+	34754224	34760384
Tbx21	NM_019507	chr11	-	96959385	96976589
Il17b	NM_019508	chr18	+	61847588	61852191
Trpc3	NM_019510	chr3	-	36519403	36589089
Ramp3	NM_019511	chr11	+	6558528	6577478
Astn2	NM_019514	chr4	-	65041836	66065517
Astn2	NM_207109	chr4	-	65041836	66065517
Nmu	NM_019515	chr5	-	76762519	76792802
Lgals12	NM_019516	chr19	-	7671150	7681666
Bace2	NM_019517	chr16	+	97578368	97660619
Grasp	NM_019518	chr15	+	101054656	101063187
Rabggta	NM_019519	chr14	-	56334713	56341034
Gas6	NM_019521	chr8	-	13465373	13494535
Sh3gl2	NM_019535	chr4	+	84851359	85035283
Psmg1	NM_019537	chr16	-	96201541	96212530
Plac1	NM_019538	chrX	-	50423178	50467599
Cts7	NM_019539	chr13	-	61453821	61459531
Pfpl	NM_019540	chr19	+	12502394	12506600
Cts8	NM_019541	chr13	-	61348107	61356709
Nagk	NM_019542	chr6	+	83745049	83752550
Pigp	NM_019543	chr16	-	94586053	94592622
Hao3	NM_019545	chr3	-	98678499	98697136
Prodh2	NM_019546	chr7	+	31278676	31298421
Rbm38	NM_019547	chr2	+	172847479	172860232
Tro	NM_019548	chrX	-	147079845	147091942
Tro	NM_001002272	chrX	-	147079845	147091942
Plek	NM_019549	chr11	-	16871450	16908705
Ptbp2	NM_019550	chr3	-	119421912	119486176
Ttrap	NM_019551	chr13	+	24923548	24934015
Abcb10	NM_019552	chr8	-	126476358	126506982
Ddx21	NM_019553	chr10	-	62042994	62065033
Ensa	NM_019561	chr3	+	95428902	95436039
Uchl5	NM_019562	chr1	+	145624402	145653945
Cited4	NM_019563	chr4	+	120339177	120340425
Htra1	NM_019564	chr7	+	138079696	138129167
Rhog	NM_019566	chr7	-	109387636	109398624
Acin1	NM_019567	chr14	-	55260997	55272522
Cxcl14	NM_019568	chr13	-	56390005	56397912
Fscn3	NM_019569	chr6	+	28377897	28388622
Rev1	NM_019570	chr1	-	38109630	38186597
Tspan5	NM_019571	chr3	+	138405158	138567388
Hdac7	NM_019572	chr15	-	97623111	97662102
Wwox	NM_019573	chr8	+	116963599	117876608
Patz1	NM_019574	chr11	+	3190362	3208520
Scamp4	NM_019575	chr10	+	80065654	80078528
Thsd1	NM_019576	chr8	+	23348971	23370359
Ccl24	NM_019577	chr5	-	136045806	136048913
Extl1	NM_019578	chr4	-	133912287	133928462
Mpp5	NM_019579	chr12	+	79850000	79939070
Gde1	NM_019580	chr7	-	125832071	125849302
Gtpbp2	NM_019581	chr17	+	46298064	46306317
Cacna1f	NM_019582	chrX	+	7184228	7212322
Il17rb	NM_019583	chr14	-	30809353	30822082
Becn1	NM_019584	chr11	-	101149580	101163566
Espn	NM_019585	chr4	-	151494984	151503034
Ube2j1	NM_019586	chr4	+	33118353	33139339
Plxnb3	NM_019587	chrX	+	71002441	71017849
Plce1	NM_019588	chr19	+	38598686	38859590
Cbln1	NM_019626	chr8	-	89992751	89996491
Tmem45a	NM_019631	chr16	-	56805273	56886276
Napb	NM_019632	chr2	-	148520392	148558130
Tspan7	NM_019634	chrX	+	10062241	10173730
Stk3	NM_019635	chr15	-	34805253	35085530
Tbc1d1	NM_019636	chr5	+	64551449	64742725
Styx	NM_019637	chr14	+	45970860	45996559
Ubc	NM_019639	chr5	-	125866334	125870476
Pitpnb	NM_019640	chr5	+	111759809	111817379
Stmn1	NM_019641	chr4	+	134024314	134029754
Rpn2	NM_019642	chr2	+	157104794	157152054
Fam60a	NM_019643	chr6	-	148869580	148894992
Pkp1	NM_019645	chr1	-	137767971	137815601
Rpl21	NM_019647	chr5	+	147644721	147648606
Metap2	NM_019648	chr10	-	93321234	93353947
Clptm1	NM_019649	chr7	-	20216928	20250369
Gosr2	NM_019650	chr11	-	103538174	103559018
Ptpn9	NM_019651	chr9	+	56842791	56910614
Asna1	NM_019652	chr8	-	87541829	87549152
Wsb1	NM_019653	chr11	-	79052883	79068203
Socs5	NM_019654	chr17	+	87506999	87536925
Adar	NM_019655	chr3	+	89534730	89555328
Tspan6	NM_019656	chrX	-	130425608	130432968
Hsd17b12	NM_019657	chr2	-	93872853	93998037
Shoc2	NM_019658	chr19	+	54019370	54107621
Kcnj1	NM_019659	chr9	+	32201569	32206779
Mycbp	NM_019660	chr4	+	123582278	123589493
Ykt6	NM_019661	chr11	+	5855782	5867783
Rrad	NM_019662	chr8	-	107151965	107155188
Pias1	NM_019663	chr9	-	62727883	62828690
Arl6	NM_019665	chr16	-	59613146	59639165
Syncrip	NM_019666	chr9	-	88350419	88377235
Stam2	NM_019667	chr2	-	52547724	52601204
Ube2a	NM_019668	chrX	+	34414326	34424215
Diap3	NM_019670	chr14	-	87056129	87541001
Net1	NM_019671	chr13	-	3881808	3917466
Actl6a	NM_019673	chr3	+	32607467	32625893
Ppp4c	NM_019674	chr7	-	133929381	133935988
Stmn4	NM_019675	chr14	+	66963211	66980517
Plcd1	NM_019676	chr9	-	118980645	119002614
Plcb1	NM_019677	chr2	+	134612265	135298158
Tfg	NM_019678	chr16	-	56690444	56717432
ENSMUSG00000053512	NM_019680	chrX	-	45766415	45777533
Freq	NM_019681	chr2	+	31101367	31150991
Dynll1	NM_019682	chr5	-	115747118	115750946
Ankrd49	NM_019683	chr9	-	14584641	14587408
Srpk3	NM_019684	chrX	+	71019760	71024263
Ruvbl1	NM_019685	chr6	+	88415416	88447560
Cib2	NM_019686	chr9	-	54393158	54407886
Slc22a4	NM_019687	chr11	-	53796627	53841592
Rapgef4	NM_019688	chr2	+	71819343	72094433
Arid3b	NM_019689	chr9	-	57638315	57682041
Gnas	NM_019690	chr2	+	174109820	174163585
Bat1a	NM_019693	chr17	+	35378910	35390627
Letm1	NM_019694	chr5	-	34084000	34125347
Pard6a	NM_019695	chr8	+	108225641	108227394
Pard6a	NM_001047435	chr8	+	108225641	108227394
Cpxm1	NM_019696	chr2	-	130216510	130223332
Kcnd2	NM_019697	chr6	+	21166108	21679805
Fads2	NM_019699	chr19	-	10138653	10176006
Pus1	NM_019700	chr5	-	111202685	111209615
Pus1	NM_001025561	chr5	-	111202685	111209615
Clcnkb	NM_019701	chr4	-	140960271	140971903
Pfkp	NM_019703	chr13	-	6579119	6647971
Tmem115	NM_019704	chr9	+	107436275	107440987
Rbck1	NM_019705	chr2	-	152142069	152158338
Rnf138	NM_019706	chr18	+	21159915	21186724
Rnf138	NM_207623	chr18	+	21159915	21186724
Cdh13	NM_019707	chr8	+	120807654	121847348
Scoc	NM_019708	chr8	-	85958391	85966547
Mbtps1	NM_019709	chr8	-	122032054	122082624
Smc1a	NM_019710	chrX	+	148450970	148496510
Rbms2	NM_019711	chr10	-	127566525	127613624
Rbx1	NM_019712	chr15	+	81296745	81306799
Rassf1	NM_019713	chr9	+	107457084	107464591
Kcmf1	NM_019715	chr6	-	72791107	72849937
Orc6l	NM_019716	chr8	+	87823601	87831969
Atl2	NM_019717	chr17	-	80247731	80295359
Arl3	NM_019718	chr19	-	46605598	46647601
Stub1	NM_019719	chr17	-	25967580	25970309
Cyb561d2	NM_019720	chr9	-	107441341	107444196
Mettl3	NM_019721	chr14	-	52914516	52924737
Arl2	NM_019722	chr19	-	6134388	6141139
Slc22a21	NM_019723	chr11	-	53764325	53793529
Mmp16	NM_019724	chr4	+	17780628	18043779
Tle2	NM_019725	chr10	+	81038276	81053590
Gps2	NM_019726	chr11	+	69727693	69730093
Snx1	NM_019727	chr9	-	65935933	65972693
Defb4	NM_019728	chr8	+	19198705	19201545
Usp8	NM_019729	chr2	+	126533101	126585028
Nme4	NM_019731	chr17	-	26228689	26232336
Runx3	NM_019732	chr4	+	134676559	134733905
Asah1	NM_019734	chr8	-	42425996	42459962
Apip	NM_019735	chr2	+	102913906	102932776
Acot9	NM_019736	chrX	+	151697089	151732050
B4galt6	NM_019737	chr18	-	20844503	20904819
Nupr1	NM_019738	chr7	-	133766759	133769003
Foxo1	NM_019739	chr3	+	52072314	52153460
Foxo3	NM_019740	chr10	-	41905591	41996501
Slc2a5	NM_019741	chr4	+	149493422	149518277
Tusc2	NM_019742	chr9	+	107465487	107468439
Rybp	NM_019743	chr6	-	100178558	100237352
Ncoa4	NM_019744	chr14	+	32978981	32992549
Pdcd10	NM_019745	chr3	-	75320411	75360657
Pdcd5	NM_019746	chr7	-	36427003	36432501
Zfp113	NM_019747	chr5	-	138580929	138596973
Sae1	NM_019748	chr7	-	16912402	16973134
Gabarap	NM_019749	chr11	+	69804830	69808448
Nat6	NM_019750	chr9	+	107482500	107486379
Htra2	NM_019752	chr6	-	83001275	83004565
Cdh17	NM_019753	chr4	+	11685303	11745052
Tagln3	NM_019754	chr16	-	45711342	45724644
Plp2	NM_019755	chrX	-	7245241	7248404
Tubd1	NM_019756	chr11	+	86358509	86380862
Fzr1	NM_019757	chr10	-	80829623	80841196
Mtch2	NM_019758	chr2	+	90687311	90706791
Dpt	NM_019759	chr1	+	166726862	166754397
Serinc1	NM_019760	chr10	-	57235583	57252301
Nxt1	NM_019761	chr2	+	148498409	148501762
Pkp3	NM_019762	chr7	+	148265668	148276408
Spen	NM_019763	chr4	-	141023804	141094512
Amotl2	NM_019764	chr9	+	102620138	102635747
Clip1	NM_019765	chr5	-	124029078	124134300
Ptges3	NM_019766	chr10	+	127496076	127514310
Arpc1a	NM_019767	chr5	+	145844731	145869625
Morf4l2	NM_019768	chrX	-	133267489	133276148
1500003O03Rik	NM_019769	chr2	+	119373461	119412758
Tmed2	NM_019770	chr5	+	124990799	125000512
Dstn	NM_019771	chr2	+	143741066	143769059
1110004F10Rik	NM_019772	chr7	+	123236840	123248724
Rab9	NM_019773	chrX	-	162895190	162917622
Akap8	NM_019774	chr17	-	32440620	32458052
Cpb2	NM_019775	chr14	+	75642093	75683353
Snd1	NM_019776	chr6	+	28430395	28838832
Ikbke	NM_019777	chr1	-	133151178	133176140
Zbtb20	NM_019778	chr16	+	43510405	43619183
Cyp11a1	NM_019779	chr9	+	57862868	57874830
Vps29	NM_019780	chr5	+	122804456	122813296
Pex14	NM_019781	chr4	-	148334643	148473923
Lepre1	NM_019782	chr4	+	118905519	118920972
Lepre1	NM_019783	chr4	+	118905510	118921582
Tex21	NM_019784	chr12	-	77299679	77347703
Actr10	NM_019785	chr12	+	72038952	72063269
Tbk1	NM_019786	chr10	-	120983515	121023759
Sec23b	NM_019787	chr2	+	144382018	144416479
Pldn	NM_019788	chr2	+	122564248	122575223
Kcnip3	NM_019789	chr2	-	127282233	127347106
Tmeff2	NM_019790	chr1	+	50984365	51244114
Maged1	NM_019791	chrX	-	91780812	91787348
Cyp3a25	NM_019792	chr5	-	146788792	146821184
Tspan3	NM_019793	chr9	-	55983690	56008774
Dnaja2	NM_019794	chr8	-	88061538	88079170
Dnajc7	NM_019795	chr11	-	100444149	100481482
Syncrip	NM_019796	chr9	-	88344575	88377235
Trip4	NM_019797	chr9	-	65680031	65756593
Pde4a	NM_019798	chr9	+	21001126	21017692
Rhcg	NM_019799	chr7	-	86738254	86762534
Acp6	NM_019800	chr3	+	96962779	96980491
Ggcx	NM_019802	chr6	+	72364340	72380701
Ube2g2	NM_019803	chr10	+	77085119	77108735
B4galt4	NM_019804	chr16	+	38742385	38769158
Anapc7	NM_019805	chr5	+	122872512	122894588
Vapb	NM_019806	chr2	+	173563071	173609837
Acpp	NM_019807	chr9	-	104201329	104240052
Pdlim5	NM_019808	chr3	-	141903567	142058630
Pdlim5	NM_019809	chr3	-	141966022	142058547
Slc5a1	NM_019810	chr5	+	33446882	33505346
Acss2	NM_019811	chr2	+	155343802	155388479
Sirt1	NM_019812	chr10	-	62781808	62801780
Dbn1	NM_019813	chr13	-	55575147	55589529
Higd1a	NM_019814	chr9	-	121757677	121767118
Cldn18	NM_019815	chr9	-	99591217	99610434
Aatf	NM_019816	chr11	-	84236357	84326995
Copz1	NM_019817	chr15	+	103103331	103130295
Timm22	NM_019818	chr11	+	76220675	76229794
Dusp14	NM_019819	chr11	-	83861546	83881866
Cbln3	NM_019820	chr14	-	56497756	56503093
Gltp	NM_019821	chr5	-	115119510	115140944
Adrm1	NM_019822	chr2	+	179906322	179910988
Cyp2d22	NM_019823	chr15	-	82201909	82206451
Arpc3	NM_019824	chr5	+	122841927	122856187
Ncoa6	NM_019825	chr2	-	155216400	155266519
Ivd	NM_019826	chr2	+	118687735	118707093
Gsk3b	NM_019827	chr16	+	38089086	38246165
Trpc4ap	NM_019828	chr2	-	155460043	155518068
Stx5a	NM_019829	chr19	+	8816309	8830132
Prmt1	NM_019830	chr7	-	52232127	52241729
Zmym3	NM_019831	chrX	-	98599723	98616188
Gkap1	NM_019832	chr13	-	58334711	58375549
B230317C12Rik	NM_019833	chr2	+	26483948	26492017
Git2	NM_019834	chr5	-	115177416	115223500
Git2	NM_001077359	chr5	-	115177416	115223500
Git2	NM_001077360	chr5	-	115177416	115223500
B4galt5	NM_019835	chr2	-	167123944	167174678
2610024G14Rik	NM_019836	chr5	-	77723275	77739083
Nudt3	NM_019837	chr17	-	27716335	27760357
Pde4b	NM_019840	chr4	+	101927543	102279867
Ctsf	NM_019861	chr19	+	4855165	4860912
Atr	NM_019864	chr9	+	95758091	95852063
Rpl36a	NM_019865	chrX	+	131120227	131122599
Spib	NM_019866	chr7	-	51781364	51787441
Ngef	NM_019867	chr1	-	89373403	89406937
Hnrnph2	NM_019868	chrX	+	131135824	131141593
Rbm14	NM_019869	chr19	-	4800924	4811599
Ard1a	NM_019870	chrX	-	71162213	71167333
Amac1	NM_019871	chr11	-	69573386	69575346
Fkbpl	NM_019873	chr17	+	34781827	34783272
Dnajb5	NM_019874	chr4	+	42965965	42971604
Abcb9	NM_019875	chr5	-	124511865	124545749
Copz2	NM_019877	chr11	+	96711189	96722516
Sult1b1	NM_019878	chr5	-	87942363	87967220
Suclg1	NM_019879	chr6	+	73198643	73226876
Mtch1	NM_019880	chr17	-	29469020	29484849
Uba52	NM_019883	chr8	-	73032164	73034266
Dcpp1	NM_019910	chr17	+	24017842	24019820
Tdo2	NM_019911	chr3	-	81762335	81779650
Ube2d2	NM_019912	chr18	+	35931260	35966817
Txn2	NM_019913	chr15	-	77745480	77759401
Mllt11	NM_019914	chr3	-	95022465	95032156
Art2b	NM_019915	chr7	-	108727373	108729675
Tlx3	NM_019916	chr11	-	33101278	33103459
Vmn2r26	NM_019917	chr6	+	123974775	124012053
Vmn2r1	NM_019918	chr3	+	63885563	63909380
Ltbp1	NM_019919	chr17	+	75404868	75791109
Mapksp1	NM_019920	chr3	+	137581518	137591726
Akap10	NM_019921	chr11	-	61684808	61743728
Crtap	NM_019922	chr9	-	114284255	114299788
Itpr2	NM_019923	chr6	-	146060001	146450434
Itpr2	NM_010586	chr6	-	146060001	146450434
Rps6ka4	NM_019924	chr19	-	6903573	6915091
Gpr132	NM_019925	chr12	-	114089086	114099127
Mtm1	NM_019926	chrX	+	68468235	68568440
Arih1	NM_019927	chr9	-	59236360	59334154
Klk4	NM_019928	chr7	+	51136541	51141174
Sumo3	NM_019929	chr10	+	77068970	77081076
Ranbp9	NM_019930	chr13	-	43498041	43576342
Kcnd3	NM_019931	chr3	+	105261733	105472127
Ptpn4	NM_019933	chr1	-	121554669	121733648
Sec1	NM_019934	chr7	-	52933056	52934928
Ovol1	NM_019935	chr19	-	5549136	5560575
Cript	NM_019936	chr17	+	87424916	87435150
Ccnl1	NM_019937	chr3	-	65750072	65762103
Pmfbp1	NM_019938	chr8	+	112017926	112066540
Mpp6	NM_019939	chr6	+	50060375	50148581
Zfp111	NM_019940	chr7	-	24978233	24993168
Zfp235	NM_019941	chr7	+	24919194	24928260
Sept6	NM_019942	chrX	-	34452239	34529489
Papolb	NM_019943	chr5	-	143003693	143006017
Mnx1	NM_019944	chr5	-	29799801	29805010
Mast1	NM_019945	chr8	-	87435751	87461252
Mgst1	NM_019946	chr6	+	138089060	138105273
Clec4e	NM_019948	chr6	-	123231806	123239889
Ube2l6	NM_019949	chr2	+	84638984	84650158
Chst5	NM_019950	chr8	-	114413034	114434099
Sec11a	NM_019951	chr7	-	88060264	88092444
Clcf1	NM_019952	chr19	+	4214391	4222615
Cnpy2	NM_019953	chr10	+	127759590	127764243
Ripk3	NM_019955	chr14	-	56403833	56407656
Krt71	NM_019956	chr15	-	101564379	101573528
Dnase2b	NM_019957	chr3	-	146243948	146278562
Rgs17	NM_019958	chr10	+	4424182	4514266
C1qtnf1	NM_019959	chr11	+	118295166	118311277
Pex3	NM_019961	chr10	-	13243921	13272926
Stat2	NM_019963	chr10	+	127707628	127729905
Dnajb12	NM_019965	chr10	+	59342405	59360764
Mlycd	NM_019966	chr8	+	121918791	121934988
Dbc1	NM_019967	chr4	-	68422405	68615431
Arl10	NM_019968	chr13	+	54676425	54682489
Plag1	NM_019969	chr4	-	3829755	3865511
Pdgfc	NM_019971	chr3	+	80840337	81017953
Sort1	NM_019972	chr3	+	108087029	108164429
Son	NM_019973	chr16	+	91648068	91663563
Klk11	NM_019974	chr7	+	51031672	51034632
Hacl1	NM_019975	chr14	-	32420411	32454090
Psrc1	NM_019976	chr3	+	108186811	108191082
Miox	NM_019977	chr15	+	89164903	89167438
Dclk1	NM_019978	chr3	+	55046447	55342990
Selk	NM_019979	chr14	+	30781617	30788260
Litaf	NM_019980	chr16	-	10959366	10993189
Tex101	NM_019981	chr7	-	25453030	25457069
Sez6l	NM_019982	chr5	-	112848177	113006205
Rabgef1	NM_019983	chr5	+	130663049	130690207
Tgm1	NM_019984	chr14	-	56318855	56331925
Clec1b	NM_019985	chr6	+	129347314	129355349
Habp4	NM_019986	chr13	+	64263173	64287845
Ick	NM_019987	chr9	+	77961215	78015747
Gbl	NM_019988	chr17	-	24610497	24615983
Sh3bgrl	NM_019989	chrX	+	106290745	106357806
Stard10	NM_019990	chr7	+	108469891	108494826
Prl2a1	NM_019991	chr13	+	27893523	27900585
Stap1	NM_019992	chr5	+	86500852	86533018
Aldh9a1	NM_019993	chr1	+	169280121	169298661
D3Ertd300e	NM_019995	chr3	+	54497026	54520759
Phax	NM_019996	chr18	+	56732697	56747157
Alg2	NM_019998	chr4	-	47482704	47487232
Pnkd	NM_019999	chr1	+	74379261	74400266
Med8	NM_020000	chr4	+	118082013	118088387
Med8	NM_173719	chr4	+	118082013	118088387
Clec4n	NM_020001	chr6	+	123179891	123197039
Rec8	NM_020002	chr14	+	56236989	56244227
0610031J06Rik	NM_020003	chr3	+	88128944	88132553
Kat2a	NM_020004	chr11	-	100566477	100573758
Kat2b	NM_020005	chr17	+	53706630	53812045
Cdc42ep4	NM_020006	chr11	-	113588163	113612632
Mbnl1	NM_020007	chr3	+	60305187	60433670
Clec7a	NM_020008	chr6	-	129411608	129422795
Frap1	NM_020009	chr4	+	147822724	147931792
Cyp51	NM_020010	chr5	-	4080673	4104715
Sphk2	NM_020011	chr7	-	52965654	52970569
Rnf14	NM_020012	chr18	+	38456328	38477457
Fgf21	NM_020013	chr7	-	52869259	52870860
Gfra4	NM_020014	chr2	-	130865911	130868418
Magea1	NM_020015	chrX	-	151523061	151524333
Magea2	NM_020016	chrX	-	151461743	151467835
Magea5	NM_020018	chrX	-	151487603	151496096
Magea6	NM_020019	chrX	-	151358554	151360658
Magea8	NM_020020	chrX	-	151420317	151430393
Mos	NM_020021	chr4	-	3797804	3799252
Rfc2	NM_020022	chr5	+	135058649	135074198
Taf10	NM_020024	chr7	-	112891407	112892840
B3galt2	NM_020025	chr1	+	145487826	145497067
B3galnt1	NM_020026	chr3	-	69378107	69402815
Bat2	NM_020027	chr17	-	35286030	35299993
Lpar2	NM_020028	chr8	+	72346529	72355001
Raet1d	NM_020030	chr10	+	22081699	22093945
Poll	NM_020032	chr19	-	45626765	45635033
Ankrd2	NM_020033	chr19	+	42110527	42119600
Pigo	NM_020035	chr4	-	43030509	43038671
Mocs1	NM_020042	chr17	+	49567767	49594755
Mocs1	NM_028464	chr17	+	49567767	49594755
Nope	NM_020043	chr9	+	64949301	64985750
Nfu1	NM_020045	chr6	+	86959897	86978409
Dhodh	NM_020046	chr8	-	112117147	112132607
Tacstd2	NM_020047	chr6	-	67484052	67485790
Med20	NM_020048	chr17	+	47748562	47761367
Slc6a14	NM_020049	chrX	+	21292083	21319084
Tmem9b	NM_020050	chr7	-	116879349	116895777
Ascl3	NM_020051	chr7	-	116870978	116875246
Scube2	NM_020052	chr7	-	116942162	117009168
Nrxn1	NM_020252	chr17	-	90433295	91492142
Nrxn2	NM_020253	chr19	+	6428015	6533217
Zbtb33	NM_020256	chrX	+	35542969	35550223
Zbtb33	NM_001079513	chrX	+	35542969	35550223
Clec2i	NM_020257	chr6	+	128837631	128846866
